wavelength,Corolla_Lobe,Corolla_Tube,Leaves
402.56,6.155 ,2.770 ,2.162 
402.77,6.159 ,2.775 ,2.168 
402.97,6.163 ,2.781 ,2.174 
403.18,6.167 ,2.787 ,2.180 
403.38,6.171 ,2.792 ,2.185 
403.59,6.175 ,2.798 ,2.191 
403.8,6.179 ,2.804 ,2.197 
404,6.183 ,2.811 ,2.203 
404.21,6.187 ,2.817 ,2.209 
404.41,6.191 ,2.823 ,2.215 
404.62,6.195 ,2.830 ,2.221 
404.82,6.199 ,2.837 ,2.227 
405.03,6.203 ,2.843 ,2.233 
405.23,6.208 ,2.850 ,2.240 
405.44,6.212 ,2.857 ,2.246 
405.64,6.216 ,2.864 ,2.252 
405.85,6.221 ,2.871 ,2.258 
406.05,6.225 ,2.878 ,2.265 
406.26,6.230 ,2.886 ,2.271 
406.46,6.234 ,2.893 ,2.277 
406.67,6.239 ,2.900 ,2.283 
406.87,6.243 ,2.908 ,2.290 
407.08,6.248 ,2.915 ,2.296 
407.28,6.252 ,2.923 ,2.302 
407.49,6.257 ,2.931 ,2.308 
407.69,6.261 ,2.938 ,2.314 
407.9,6.266 ,2.946 ,2.320 
408.1,6.270 ,2.954 ,2.326 
408.31,6.275 ,2.962 ,2.332 
408.51,6.280 ,2.970 ,2.338 
408.72,6.284 ,2.978 ,2.344 
408.92,6.289 ,2.986 ,2.350 
409.13,6.294 ,2.994 ,2.355 
409.33,6.298 ,3.002 ,2.361 
409.54,6.303 ,3.010 ,2.366 
409.74,6.307 ,3.018 ,2.371 
409.95,6.312 ,3.026 ,2.377 
410.15,6.317 ,3.034 ,2.382 
410.36,6.322 ,3.042 ,2.387 
410.56,6.327 ,3.051 ,2.392 
410.77,6.332 ,3.059 ,2.398 
410.97,6.337 ,3.068 ,2.403 
411.18,6.342 ,3.077 ,2.409 
411.38,6.348 ,3.086 ,2.414 
411.59,6.353 ,3.095 ,2.420 
411.79,6.358 ,3.105 ,2.425 
411.99,6.364 ,3.114 ,2.431 
412.2,6.370 ,3.123 ,2.436 
412.4,6.375 ,3.133 ,2.442 
412.61,6.381 ,3.143 ,2.447 
412.81,6.387 ,3.152 ,2.452 
413.02,6.392 ,3.162 ,2.458 
413.22,6.398 ,3.172 ,2.463 
413.43,6.404 ,3.181 ,2.468 
413.63,6.409 ,3.191 ,2.474 
413.84,6.415 ,3.201 ,2.479 
414.04,6.421 ,3.211 ,2.484 
414.25,6.426 ,3.220 ,2.489 
414.45,6.432 ,3.230 ,2.494 
414.66,6.437 ,3.240 ,2.499 
414.86,6.443 ,3.250 ,2.503 
415.06,6.448 ,3.259 ,2.508 
415.27,6.453 ,3.269 ,2.512 
415.47,6.458 ,3.278 ,2.516 
415.68,6.463 ,3.288 ,2.520 
415.88,6.468 ,3.297 ,2.524 
416.09,6.473 ,3.306 ,2.528 
416.29,6.478 ,3.315 ,2.532 
416.5,6.482 ,3.324 ,2.535 
416.7,6.486 ,3.333 ,2.538 
416.91,6.491 ,3.342 ,2.541 
417.11,6.495 ,3.351 ,2.544 
417.31,6.499 ,3.360 ,2.547 
417.52,6.504 ,3.369 ,2.550 
417.72,6.508 ,3.378 ,2.553 
417.93,6.513 ,3.388 ,2.555 
418.13,6.517 ,3.397 ,2.558 
418.34,6.521 ,3.407 ,2.560 
418.54,6.526 ,3.416 ,2.563 
418.75,6.530 ,3.426 ,2.565 
418.95,6.535 ,3.436 ,2.567 
419.15,6.539 ,3.446 ,2.569 
419.36,6.544 ,3.455 ,2.572 
419.56,6.548 ,3.465 ,2.574 
419.77,6.552 ,3.475 ,2.575 
419.97,6.557 ,3.485 ,2.577 
420.18,6.561 ,3.495 ,2.579 
420.38,6.565 ,3.504 ,2.581 
420.58,6.570 ,3.514 ,2.582 
420.79,6.574 ,3.524 ,2.584 
420.99,6.578 ,3.534 ,2.585 
421.2,6.582 ,3.543 ,2.587 
421.4,6.586 ,3.553 ,2.588 
421.61,6.590 ,3.562 ,2.589 
421.81,6.594 ,3.571 ,2.590 
422.01,6.597 ,3.581 ,2.591 
422.22,6.601 ,3.590 ,2.592 
422.42,6.605 ,3.599 ,2.593 
422.63,6.608 ,3.608 ,2.594 
422.83,6.611 ,3.616 ,2.595 
423.03,6.615 ,3.625 ,2.595 
423.24,6.618 ,3.633 ,2.596 
423.44,6.621 ,3.641 ,2.597 
423.65,6.624 ,3.650 ,2.597 
423.85,6.626 ,3.658 ,2.597 
424.05,6.629 ,3.666 ,2.597 
424.26,6.631 ,3.674 ,2.597 
424.46,6.633 ,3.682 ,2.596 
424.67,6.635 ,3.690 ,2.595 
424.87,6.637 ,3.698 ,2.595 
425.07,6.639 ,3.706 ,2.594 
425.28,6.641 ,3.714 ,2.592 
425.48,6.642 ,3.722 ,2.591 
425.69,6.644 ,3.730 ,2.590 
425.89,6.645 ,3.738 ,2.588 
426.09,6.646 ,3.745 ,2.587 
426.3,6.647 ,3.753 ,2.585 
426.5,6.649 ,3.761 ,2.583 
426.71,6.650 ,3.769 ,2.582 
426.91,6.651 ,3.776 ,2.580 
427.11,6.652 ,3.784 ,2.578 
427.32,6.653 ,3.792 ,2.576 
427.52,6.654 ,3.799 ,2.574 
427.73,6.655 ,3.807 ,2.572 
427.93,6.657 ,3.814 ,2.571 
428.13,6.658 ,3.822 ,2.569 
428.34,6.659 ,3.829 ,2.567 
428.54,6.661 ,3.837 ,2.565 
428.74,6.662 ,3.844 ,2.564 
428.95,6.664 ,3.851 ,2.562 
429.15,6.666 ,3.858 ,2.561 
429.36,6.667 ,3.866 ,2.559 
429.56,6.669 ,3.873 ,2.558 
429.76,6.672 ,3.880 ,2.557 
429.97,6.674 ,3.887 ,2.556 
430.17,6.676 ,3.894 ,2.555 
430.37,6.679 ,3.901 ,2.554 
430.58,6.681 ,3.907 ,2.553 
430.78,6.682 ,3.913 ,2.552 
430.99,6.684 ,3.919 ,2.550 
431.19,6.685 ,3.925 ,2.549 
431.39,6.686 ,3.930 ,2.547 
431.6,6.687 ,3.935 ,2.545 
431.8,6.687 ,3.940 ,2.543 
432,6.687 ,3.945 ,2.541 
432.21,6.688 ,3.950 ,2.538 
432.41,6.688 ,3.954 ,2.536 
432.61,6.688 ,3.958 ,2.534 
432.82,6.688 ,3.963 ,2.531 
433.02,6.688 ,3.967 ,2.529 
433.23,6.688 ,3.971 ,2.526 
433.43,6.689 ,3.975 ,2.524 
433.63,6.689 ,3.980 ,2.521 
433.84,6.689 ,3.984 ,2.519 
434.04,6.689 ,3.988 ,2.516 
434.24,6.690 ,3.992 ,2.514 
434.45,6.691 ,3.997 ,2.511 
434.65,6.692 ,4.001 ,2.509 
434.85,6.693 ,4.006 ,2.507 
435.06,6.694 ,4.011 ,2.505 
435.26,6.696 ,4.016 ,2.503 
435.46,6.697 ,4.021 ,2.501 
435.67,6.700 ,4.027 ,2.499 
435.87,6.702 ,4.032 ,2.497 
436.07,6.705 ,4.038 ,2.496 
436.28,6.708 ,4.045 ,2.494 
436.48,6.712 ,4.051 ,2.493 
436.68,6.716 ,4.058 ,2.492 
436.89,6.720 ,4.065 ,2.492 
437.09,6.725 ,4.072 ,2.491 
